"","smoc2_normal1","smoc2_normal3","smoc2_normal4","smoc2_fibrosis1","smoc2_fibrosis2","smoc2_fibrosis3","smoc2_fibrosis4"
"ENSMUSG00000021504",272,301,370,778,561,649,503
"ENSMUSG00000021506",2,2,4,10,2,7,2
"ENSMUSG00000021508",263,535,276,4727,1949,2781,1920
"ENSMUSG00000021509",587,578,709,177,178,242,200
"ENSMUSG00000021510",200,233,243,590,420,384,438
"ENSMUSG00000021514",340,371,356,739,668,503,572
"ENSMUSG00000021518",1345,1368,1527,2377,1875,1852,1672
"ENSMUSG00000021519",474,545,585,796,623,604,522
"ENSMUSG00000021520",3067,4425,3859,2513,2080,2830,2517
"ENSMUSG00000021532",183,184,237,345,273,277,265
"ENSMUSG00000021534",4,8,6,3,6,11,8
"ENSMUSG00000021536",0,10,3,23,19,15,15
"ENSMUSG00000021537",593,707,620,1278,1058,1177,1219
"ENSMUSG00000021538",2,0,0,0,0,0,0
"ENSMUSG00000021539",3,4,2,1,2,0,3
"ENSMUSG00000021540",1439,1464,1385,3231,2482,2390,2364
"ENSMUSG00000021541",0,0,1,1,1,0,0
"ENSMUSG00000021545",0,0,0,0,0,0,0
"ENSMUSG00000021546",5002,5309,5988,10731,8660,8879,8187
"ENSMUSG00000021548",434,468,458,740,556,731,650
"ENSMUSG00000021549",816,689,702,1948,1529,1428,1322
"ENSMUSG00000021550",882,983,983,1251,1038,1291,922
"ENSMUSG00000021552",476,496,540,506,391,519,453
"ENSMUSG00000021553",0,0,1,0,2,2,1
"ENSMUSG00000021555",601,701,762,1457,1194,1154,1026
"ENSMUSG00000021556",612,649,568,3487,3608,3058,3082
"ENSMUSG00000021557",962,1078,1099,1247,971,987,1022
"ENSMUSG00000021559",1792,1629,2219,2735,2021,1977,1767
"ENSMUSG00000021565",6632,5403,8245,609,416,1055,914
"ENSMUSG00000021566",9,11,9,20,10,13,13
"ENSMUSG00000021567",23,29,29,3370,1460,1873,1489
"ENSMUSG00000021569",3,16,7,132,135,105,141
"ENSMUSG00000021572",66,114,136,153,117,188,167
"ENSMUSG00000021573",195,178,251,106,122,109,116
"ENSMUSG00000021575",5,9,3,19,25,17,16
"ENSMUSG00000021576",1408,1548,1823,2631,2089,2148,1730
"ENSMUSG00000021577",16916,15626,20664,10015,8438,8912,8461
"ENSMUSG00000021578",585,664,640,1196,1022,1055,926
"ENSMUSG00000021579",0,0,0,0,0,0,0
"ENSMUSG00000021583",753,539,785,2470,1997,1664,2004
"ENSMUSG00000021585",735,636,768,2081,1883,1585,1700
"ENSMUSG00000021587",0,0,0,0,1,3,0
"ENSMUSG00000021589",176,117,143,811,506,576,516
"ENSMUSG00000021590",20,23,21,47,28,35,25
"ENSMUSG00000021591",731,729,761,987,796,1007,846
"ENSMUSG00000021592",711,721,810,998,876,934,829
"ENSMUSG00000021594",293,312,339,919,1109,1224,1070
"ENSMUSG00000021595",1189,1520,1565,2566,1994,1935,1757
"ENSMUSG00000021596",4,7,9,47,50,36,37
"ENSMUSG00000021597",198,170,193,408,275,336,285
"ENSMUSG00000021598",0,0,0,0,0,0,0
"ENSMUSG00000021600",0,0,0,1,0,0,0
"ENSMUSG00000021604",13,5,14,7,4,6,7
"ENSMUSG00000021606",1962,3233,2854,1818,1469,2150,1741
"ENSMUSG00000021607",417,611,600,938,737,942,600
"ENSMUSG00000021608",190,295,268,1089,678,788,730
"ENSMUSG00000021609",2,2,4,3,2,4,3
"ENSMUSG00000021610",2526,2954,3134,4814,3840,3976,3365
"ENSMUSG00000021611",32,42,39,174,153,156,150
"ENSMUSG00000021612",26513,31229,40252,14963,11147,12477,11360
"ENSMUSG00000021613",20,20,28,4,1,6,2
"ENSMUSG00000021614",34,20,20,1646,1000,1342,405
"ENSMUSG00000021615",225,244,206,390,253,393,326
"ENSMUSG00000021619",282,288,393,205,170,214,188
"ENSMUSG00000021620",1658,1750,1827,402,485,623,548
"ENSMUSG00000021621",298,560,442,823,634,734,652
"ENSMUSG00000021622",0,1,1,0,1,0,0
"ENSMUSG00000021624",16,19,8,248,191,175,259
"ENSMUSG00000021629",1522,1313,1649,2208,1744,1695,1499
"ENSMUSG00000021631",6,7,3,3,6,2,8
"ENSMUSG00000021635",398,421,429,721,536,576,565
"ENSMUSG00000021636",490,456,506,994,787,849,758
"ENSMUSG00000021638",727,660,904,1227,1078,923,917
"ENSMUSG00000021639",252,360,361,491,402,452,373
"ENSMUSG00000021640",2,2,1,16,16,14,11
"ENSMUSG00000021643",152,219,179,474,422,584,400
"ENSMUSG00000021645",228,271,265,624,484,618,428
"ENSMUSG00000021646",3949,3992,5948,1596,1233,1447,1371
"ENSMUSG00000021647",0,0,0,5,10,10,3
"ENSMUSG00000021650",598,634,832,751,553,656,562
"ENSMUSG00000021660",1578,2181,1999,3532,2767,3347,2572
"ENSMUSG00000021661",331,407,376,674,486,580,511
"ENSMUSG00000021662",2402,2763,3506,4295,3522,3783,3289
"ENSMUSG00000021665",2176,1769,2728,1790,1354,1431,1825
"ENSMUSG00000021666",1559,1837,1990,1649,1448,1392,1507
"ENSMUSG00000021668",235,252,242,546,383,430,365
"ENSMUSG00000021669",1300,1252,1393,1605,1358,1328,1261
"ENSMUSG00000021670",3319,2696,2303,1331,1090,878,873
"ENSMUSG00000021671",231,205,252,382,330,271,388
"ENSMUSG00000021675",2,3,1,25,31,21,10
"ENSMUSG00000021676",1826,1766,2262,1330,1110,1166,1411
"ENSMUSG00000021678",456,363,609,1800,2210,1491,1346
"ENSMUSG00000021679",1,0,0,0,4,3,0
"ENSMUSG00000021680",0,0,0,0,0,6,1
"ENSMUSG00000021681",944,978,1117,1785,1351,1652,1538
"ENSMUSG00000021684",243,279,315,921,707,759,595
"ENSMUSG00000021685",0,0,0,0,0,0,0
"ENSMUSG00000021686",1459,1442,1741,2793,2134,2494,2326
"ENSMUSG00000021687",1124,1094,1361,1809,1334,1484,1328
"ENSMUSG00000021690",1089,1040,1325,1664,1242,1343,1270
"ENSMUSG00000021692",70,72,79,203,178,162,139
"ENSMUSG00000021693",352,340,364,947,765,797,680
"ENSMUSG00000021694",115,121,86,273,168,215,143
"ENSMUSG00000021696",2122,2269,2791,2739,2344,2269,2234
"ENSMUSG00000021697",184,179,184,229,283,331,320
"ENSMUSG00000021699",605,525,640,632,525,425,479
"ENSMUSG00000021700",1,0,0,1,0,0,0
"ENSMUSG00000021701",222,256,238,1141,687,797,580
"ENSMUSG00000021702",23,12,16,94,100,84,41
"ENSMUSG00000021703",445,416,475,1360,1143,1214,1280
"ENSMUSG00000021704",623,654,783,979,749,858,794
"ENSMUSG00000021706",669,681,712,1167,940,745,852
"ENSMUSG00000021707",1044,1421,1376,542,658,834,785
"ENSMUSG00000021708",68,99,113,113,102,89,79
"ENSMUSG00000021709",3948,3095,4213,5718,4879,4559,4601
"ENSMUSG00000021710",621,586,748,1399,1108,1020,1055
"ENSMUSG00000021711",773,736,905,1181,981,922,816
"ENSMUSG00000021712",446,378,476,643,469,532,513
"ENSMUSG00000021713",250,236,257,471,321,499,472
"ENSMUSG00000021714",8,8,13,66,73,44,60
"ENSMUSG00000021715",228,298,277,451,378,503,420
"ENSMUSG00000021716",537,624,675,966,736,958,777
"ENSMUSG00000021718",0,0,0,0,1,0,0
"ENSMUSG00000021719",22,23,34,18,27,18,24
"ENSMUSG00000021720",9,11,17,132,91,97,96
"ENSMUSG00000021721",0,0,0,0,0,0,0
"ENSMUSG00000021725",437,466,561,2469,1884,2197,1884
"ENSMUSG00000021728",528,299,583,1459,1234,1211,1496
"ENSMUSG00000021730",0,0,0,0,0,0,0
"ENSMUSG00000021731",671,879,800,939,742,860,704
"ENSMUSG00000021732",39,38,68,40,34,57,83
"ENSMUSG00000021733",210,122,165,594,785,491,717
"ENSMUSG00000021737",1103,1356,1347,1935,1381,1681,1292
"ENSMUSG00000021738",955,891,1229,1339,1122,1096,1160
"ENSMUSG00000021741",4,6,9,4,4,4,6
"ENSMUSG00000021743",1,1,0,19,19,28,17
"ENSMUSG00000021745",1548,1299,1162,2893,1920,2154,1855
"ENSMUSG00000021747",10,15,27,58,46,76,62
"ENSMUSG00000021748",2571,2800,3258,1903,1567,1919,1605
"ENSMUSG00000021749",17,19,16,162,298,302,155
"ENSMUSG00000021750",7784,7468,10060,1980,1810,2040,1930
"ENSMUSG00000021751",3826,2970,5607,643,577,743,757
"ENSMUSG00000021752",576,700,650,661,541,680,586
"ENSMUSG00000021754",1146,1067,1481,6818,5282,5554,5129
"ENSMUSG00000021756",3821,3661,4355,16158,11361,9735,10397
"ENSMUSG00000021758",0,0,0,1,3,2,4
"ENSMUSG00000021759",899,1299,898,1493,1013,1181,968
"ENSMUSG00000021760",238,342,263,1473,1053,1289,880
"ENSMUSG00000021763",886,1121,995,1701,1237,1232,759
"ENSMUSG00000021764",1675,1903,2273,1872,1374,1860,1813
"ENSMUSG00000021765",306,281,490,2409,1743,1694,2473
"ENSMUSG00000021767",672,649,754,1616,1175,1227,1131
"ENSMUSG00000021768",11,6,3,3,9,3,2
"ENSMUSG00000021770",1185,1175,1424,1318,1013,1148,1181
"ENSMUSG00000021771",4015,4570,4918,5035,4122,5122,4489
"ENSMUSG00000021772",499,686,666,519,394,513,495
"ENSMUSG00000021773",68,55,82,178,167,209,112
"ENSMUSG00000021774",533,506,632,769,616,513,499
"ENSMUSG00000021775",2084,2091,2776,2709,2059,2478,2129
"ENSMUSG00000021779",1018,1047,1348,674,539,697,697
"ENSMUSG00000021782",1257,1357,1477,2600,2010,1995,1727
"ENSMUSG00000021785",838,820,983,927,784,802,791
"ENSMUSG00000021786",668,609,686,538,419,457,472
"ENSMUSG00000021789",2,0,0,0,0,0,0
"ENSMUSG00000021790",1,2,11,0,4,1,15
"ENSMUSG00000021791",13,39,39,7,36,0,65
"ENSMUSG00000021792",4351,5763,8176,2676,3337,3582,4640
"ENSMUSG00000021794",13203,14489,19572,8796,7652,8913,7322
"ENSMUSG00000021795",4,1,1,101,54,93,39
"ENSMUSG00000021796",1326,1266,1570,3759,3056,2785,2468
"ENSMUSG00000021797",1,1,0,0,0,0,0
"ENSMUSG00000021798",57,46,46,75,70,75,65
"ENSMUSG00000021799",0,1,0,4,1,3,1
"ENSMUSG00000021803",1,0,0,13,7,7,15
"ENSMUSG00000021804",0,0,0,0,0,0,0
"ENSMUSG00000021806",499,692,721,1050,1013,1057,1032
"ENSMUSG00000021807",1371,1756,1496,2089,1644,2070,1372
"ENSMUSG00000021809",391,454,475,537,431,497,477
"ENSMUSG00000021810",825,855,1023,1398,1144,1160,1067
"ENSMUSG00000021811",270,349,345,631,491,625,543
"ENSMUSG00000021814",2950,3373,3456,5870,4930,5677,4475
"ENSMUSG00000021815",31,36,52,98,73,113,127
"ENSMUSG00000021816",816,671,920,1500,1263,1161,1102
"ENSMUSG00000021819",2067,2561,2492,5344,4209,4722,3778
"ENSMUSG00000021820",486,554,642,1044,793,950,883
"ENSMUSG00000021822",19477,23196,26406,26964,23117,26456,24402
"ENSMUSG00000021823",668,566,730,3376,2857,1725,2293
"ENSMUSG00000021824",566,672,635,1199,1017,951,886
"ENSMUSG00000021830",539,491,647,837,500,780,635
"ENSMUSG00000021831",495,437,539,705,574,503,495
"ENSMUSG00000021832",1443,1643,1536,2483,1891,2066,2082
"ENSMUSG00000021835",1096,1260,1354,1375,1231,1751,1332
"ENSMUSG00000021838",100,91,90,1106,857,652,524
"ENSMUSG00000021840",862,744,920,1671,1447,1249,1373
"ENSMUSG00000021843",1010,1027,1105,2587,2155,2223,2053
"ENSMUSG00000021846",2173,2483,3093,1430,1159,1366,1127
"ENSMUSG00000021848",0,0,0,0,0,0,0
"ENSMUSG00000021850",3111,3856,3378,2976,2321,2892,2241
"ENSMUSG00000021852",1,1,0,0,0,0,0
"ENSMUSG00000021866",1092,947,1316,1235,1030,843,796
"ENSMUSG00000021867",0,0,0,0,0,0,0
"ENSMUSG00000021868",1631,1856,2252,1140,998,1327,1087
"ENSMUSG00000021870",2304,1853,2452,2945,2395,2249,2295
"ENSMUSG00000021871",896,1113,1007,1919,1845,1626,1575
"ENSMUSG00000021872",0,0,0,2,2,0,2
"ENSMUSG00000021874",3,7,5,16,8,31,18
"ENSMUSG00000021876",549,614,1377,1868,1137,1345,1245
"ENSMUSG00000021877",2226,2365,2737,4928,4063,4055,3365
"ENSMUSG00000021879",44,47,47,70,50,85,63
"ENSMUSG00000021880",10,12,13,115,96,114,154
"ENSMUSG00000021884",2692,2330,3180,1203,1319,1739,1969
"ENSMUSG00000021886",31,28,9,537,325,342,364
"ENSMUSG00000021890",1069,1091,1188,1555,1289,1258,1158
"ENSMUSG00000021891",255,316,314,650,445,632,474
"ENSMUSG00000021892",1721,1819,2106,1606,1305,1879,2003
"ENSMUSG00000021893",1134,1311,1304,2167,1639,1872,1750
"ENSMUSG00000021895",1342,1305,1436,2597,2109,2468,2401
"ENSMUSG00000021898",10,13,6,16,9,26,21
"ENSMUSG00000021900",2529,3209,3140,2163,2027,2452,2076
"ENSMUSG00000021901",1425,1745,1886,2300,1777,2102,1830
"ENSMUSG00000021902",241,321,335,306,228,277,209
"ENSMUSG00000021903",182,264,173,378,332,251,265
"ENSMUSG00000021904",1623,1845,1873,1594,1399,1620,1613
"ENSMUSG00000021905",422,501,557,930,661,778,556
"ENSMUSG00000021906",1036,1012,1361,859,648,790,767
"ENSMUSG00000021907",0,1,0,0,0,0,0
"ENSMUSG00000021908",152,175,108,89,77,73,2
"ENSMUSG00000021910",8538,9622,11399,17664,13911,14892,12025
"ENSMUSG00000021911",612,538,590,1128,831,832,774
"ENSMUSG00000021913",9,11,93,265,217,292,312
"ENSMUSG00000021916",524,622,598,1303,1003,1168,995
"ENSMUSG00000021917",1467,1898,1815,2633,1974,2449,2050
"ENSMUSG00000021918",397,384,427,749,597,560,668
"ENSMUSG00000021919",0,0,0,4,0,1,0
"ENSMUSG00000021922",1,2,1,65,38,53,39
"ENSMUSG00000021927",0,0,0,5,0,0,0
"ENSMUSG00000021928",142,220,205,287,275,287,297
"ENSMUSG00000021929",674,667,732,1882,1616,1367,1425
"ENSMUSG00000021930",520,444,456,675,554,708,581
"ENSMUSG00000021932",253,357,282,576,490,579,483
"ENSMUSG00000021933",6,2,2,7,6,5,6
"ENSMUSG00000021936",412,476,465,874,612,733,681
"ENSMUSG00000021938",300,323,328,643,546,519,485
"ENSMUSG00000021939",12600,14538,16880,38689,30195,34645,33015
"ENSMUSG00000021940",0,0,0,0,0,0,0
"ENSMUSG00000021943",177,121,65,134,129,203,139
"ENSMUSG00000021944",1,0,1,13,17,18,15
"ENSMUSG00000021945",908,869,953,1989,1515,1591,1444
"ENSMUSG00000021947",4675,4811,6825,1559,1519,2152,1760
"ENSMUSG00000021948",1901,1974,2391,4766,3368,3573,3745
"ENSMUSG00000021950",24,3,3,104,114,123,73
"ENSMUSG00000021951",243,326,323,408,353,381,289
"ENSMUSG00000021952",190,143,202,337,320,170,244
"ENSMUSG00000021953",0,0,0,5,2,1,3
"ENSMUSG00000021957",4867,4846,6915,5505,5488,5817,5256
"ENSMUSG00000021958",77,129,76,713,563,643,555
"ENSMUSG00000021959",1000,939,1091,1873,1554,1339,1212
"ENSMUSG00000021961",0,0,0,0,0,1,0
"ENSMUSG00000021962",416,437,530,977,796,839,815
"ENSMUSG00000021963",890,1142,1067,1179,925,1174,1074
"ENSMUSG00000021965",7,9,7,92,106,105,101
"ENSMUSG00000021966",0,1,2,2,2,3,4
"ENSMUSG00000021967",525,676,648,586,508,632,426
"ENSMUSG00000021969",381,396,452,1371,1006,1231,1029
"ENSMUSG00000021972",734,894,913,1571,1268,1306,1177
"ENSMUSG00000021973",1059,1323,1281,2018,1462,1822,1469
"ENSMUSG00000021974",429,453,461,277,232,237,246
"ENSMUSG00000021975",391,358,448,777,582,699,616
"ENSMUSG00000021977",0,0,0,0,0,0,0
"ENSMUSG00000021978",948,1149,1100,2939,2132,2103,1952
"ENSMUSG00000021981",1265,1414,1597,1267,1143,1202,1023
"ENSMUSG00000021982",790,893,1027,974,713,841,784
"ENSMUSG00000021983",21,22,14,27,13,19,17
"ENSMUSG00000021986",0,2,0,31,20,19,27
"ENSMUSG00000021987",1015,852,999,1988,1282,1461,1377
"ENSMUSG00000021990",1728,1473,1901,2981,2630,2465,2261
"ENSMUSG00000021991",0,2,2,7,18,8,6
"ENSMUSG00000021993",894,858,987,831,597,715,528
"ENSMUSG00000021994",354,404,408,1194,1002,943,651
"ENSMUSG00000021996",5166,6755,7109,4462,3974,5045,4173
"ENSMUSG00000021997",2,1,3,4,2,3,5
"ENSMUSG00000021998",542,636,646,4571,3235,3121,3910
"ENSMUSG00000021999",527,1139,996,246,391,278,291
"ENSMUSG00000022000",838,1104,1140,1709,1251,1366,1420
"ENSMUSG00000022002",25,41,64,7,4,6,8
"ENSMUSG00000022003",1362,1093,1788,2087,1624,1575,2284
"ENSMUSG00000022008",627,596,654,1397,1105,1006,1106
"ENSMUSG00000022009",209,248,237,551,415,501,377
"ENSMUSG00000022010",4047,4219,4548,31548,21975,20294,15829
"ENSMUSG00000022012",94,101,199,118,120,122,114
"ENSMUSG00000022013",818,1114,1059,875,712,946,786
"ENSMUSG00000022014",61,64,80,545,339,481,439
"ENSMUSG00000022015",1,0,0,22,7,5,15
"ENSMUSG00000022016",1542,1111,1457,2062,1715,1653,1736
"ENSMUSG00000022018",226,353,254,353,205,260,147
"ENSMUSG00000022019",652,746,732,1223,899,1138,922
"ENSMUSG00000022020",230,272,268,477,355,338,294
"ENSMUSG00000022021",8,13,11,196,206,163,151
"ENSMUSG00000022022",190,193,178,180,149,191,160
"ENSMUSG00000022023",555,618,634,923,745,884,745
"ENSMUSG00000022024",734,957,919,1867,1419,1677,1511
"ENSMUSG00000022025",3,6,3,53,20,9,7
"ENSMUSG00000022026",196,196,148,465,394,571,618
"ENSMUSG00000022031",859,862,938,1607,1331,1484,1219
"ENSMUSG00000022032",37,39,50,58,36,37,49
"ENSMUSG00000022033",18,22,12,178,175,154,150
"ENSMUSG00000022034",14,4,8,115,148,85,111
"ENSMUSG00000022035",474,533,519,876,759,756,756
"ENSMUSG00000022037",7754,5395,5960,112417,134923,111158,100778
"ENSMUSG00000022039",0,0,0,0,0,1,0
"ENSMUSG00000022040",2524,3206,3709,1434,1584,2501,1786
"ENSMUSG00000022041",0,2,0,12,3,18,25
"ENSMUSG00000022043",647,690,877,2881,2285,2327,2035
"ENSMUSG00000022044",1,2,0,5,5,6,3
"ENSMUSG00000022048",226,291,228,843,607,804,715
"ENSMUSG00000022051",1693,1901,2588,2507,1843,2302,1856
"ENSMUSG00000022052",725,776,814,1717,1334,1614,1358
"ENSMUSG00000022053",0,2,2,6,3,2,2
"ENSMUSG00000022054",4,12,3,66,29,45,51
"ENSMUSG00000022055",3,6,1,18,8,37,19
"ENSMUSG00000022056",10,12,7,11,6,13,8
"ENSMUSG00000022057",3,0,1,11,17,32,5
"ENSMUSG00000022061",15,19,28,5,8,6,21
"ENSMUSG00000022064",114,110,126,297,257,230,227
"ENSMUSG00000022066",0,0,0,0,0,0,0
"ENSMUSG00000022070",51,73,63,282,214,325,250
"ENSMUSG00000022074",51,79,41,342,218,252,221
"ENSMUSG00000022075",497,535,659,657,383,469,409
"ENSMUSG00000022076",1,0,0,0,2,5,0
"ENSMUSG00000022085",0,2,0,0,0,3,0
"ENSMUSG00000022089",386,432,419,1152,883,1125,987
"ENSMUSG00000022090",208,236,241,890,541,956,738
"ENSMUSG00000022091",1008,1190,1306,1890,1460,2118,1535
"ENSMUSG00000022092",355,343,337,450,296,418,410
"ENSMUSG00000022094",2137,2541,2028,2644,1835,1841,1890
"ENSMUSG00000022095",616,759,669,1243,972,1022,898
"ENSMUSG00000022096",36,62,46,704,625,470,573
"ENSMUSG00000022097",0,0,0,0,0,4,0
"ENSMUSG00000022098",422,464,445,4956,2891,3812,2460
"ENSMUSG00000022099",4446,4733,5815,2092,1817,2556,2082
"ENSMUSG00000022100",1842,1715,2168,2550,2203,2124,1838
"ENSMUSG00000022101",9,5,7,7,9,4,6
"ENSMUSG00000022102",97,191,205,404,335,256,370
"ENSMUSG00000022103",6,4,8,88,72,93,64
"ENSMUSG00000022105",1286,1352,1540,1647,1397,1398,1225
"ENSMUSG00000022106",556,624,559,1134,881,955,838
"ENSMUSG00000022108",31370,33495,36424,32071,26393,32687,28058
"ENSMUSG00000022109",353,438,384,769,629,731,626
"ENSMUSG00000022110",4078,4020,4929,2679,2148,2287,2408
"ENSMUSG00000022111",400,502,352,878,646,743,577
"ENSMUSG00000022112",296,195,46,182,22,65,102
"ENSMUSG00000022113",0,0,0,0,0,0,0
"ENSMUSG00000022114",290,300,344,739,486,597,448
"ENSMUSG00000022116",0,0,0,0,0,0,0
"ENSMUSG00000022119",867,880,966,1736,1334,1288,1371
"ENSMUSG00000022120",66,70,55,273,232,229,206
"ENSMUSG00000022122",554,1016,937,894,832,912,738
"ENSMUSG00000022123",183,276,232,209,149,133,87
"ENSMUSG00000022124",1589,1421,1727,2332,1890,1910,1657
"ENSMUSG00000022125",805,632,668,1129,808,902,834
"ENSMUSG00000022126",0,0,0,28,18,33,34
"ENSMUSG00000022129",1,1,3,1,2,3,2
"ENSMUSG00000022130",276,262,338,334,280,342,269
"ENSMUSG00000022131",461,561,656,899,696,711,573
"ENSMUSG00000022132",4502,5616,5609,1701,1528,2197,1536
"ENSMUSG00000022136",4178,4071,5078,5017,3838,3135,3173
"ENSMUSG00000022139",1804,1417,2119,4695,3882,3340,3056
"ENSMUSG00000022141",1459,1497,1549,3129,2577,2056,2341
"ENSMUSG00000022142",335,338,450,932,817,747,731
"ENSMUSG00000022144",1,5,6,18,16,22,16
"ENSMUSG00000022146",197,225,138,4727,3318,2568,2433
"ENSMUSG00000022148",37,40,30,871,531,586,826
"ENSMUSG00000022149",2,2,1,10,5,7,7
"ENSMUSG00000022150",11539,13180,12058,13272,10747,12600,11540
"ENSMUSG00000022151",370,404,445,877,692,709,674
"ENSMUSG00000022155",0,0,0,0,0,0,0
"ENSMUSG00000022156",0,0,0,0,0,0,0
"ENSMUSG00000022157",0,0,0,0,0,0,0
"ENSMUSG00000022159",55,41,49,84,77,81,90
"ENSMUSG00000022160",360,369,395,727,550,602,506
"ENSMUSG00000022174",2023,2537,2465,2882,2245,2777,2063
"ENSMUSG00000022175",4352,5000,5081,6470,5450,6424,4887
"ENSMUSG00000022176",3,8,9,83,58,58,51
"ENSMUSG00000022177",230,345,216,448,349,579,432
"ENSMUSG00000022178",828,1111,1167,3678,2870,2023,1611
"ENSMUSG00000022179",193,185,243,371,290,343,267
"ENSMUSG00000022180",6887,6442,8551,2572,2153,2980,2482
"ENSMUSG00000022181",4,6,2,97,24,85,44
"ENSMUSG00000022184",198,250,260,578,460,502,413
"ENSMUSG00000022185",2674,3544,3461,6951,5163,5896,5013
"ENSMUSG00000022186",27786,31696,36446,11422,8342,7696,8771
"ENSMUSG00000022187",2,0,0,0,0,0,0
"ENSMUSG00000022191",1438,1555,1708,2247,1926,2100,1763
"ENSMUSG00000022193",377,455,463,548,475,517,398
"ENSMUSG00000022194",760,925,984,1289,1066,1247,899
"ENSMUSG00000022195",463,452,485,957,772,873,662
"ENSMUSG00000022197",1664,1545,1733,533,517,607,640
"ENSMUSG00000022199",1033,1296,1477,1315,1056,1505,1037
"ENSMUSG00000022200",1728,1779,2087,2658,2319,2304,1982
"ENSMUSG00000022201",1514,1521,1762,3315,2678,2333,2192
"ENSMUSG00000022203",38,57,51,387,275,293,190
"ENSMUSG00000022204",572,847,750,1231,848,1181,887
"ENSMUSG00000022205",995,1205,1289,2038,1581,1854,1775
"ENSMUSG00000022206",289,412,384,2382,776,1797,1143
"ENSMUSG00000022208",2,1,1,15,14,14,8
"ENSMUSG00000022209",0,0,0,1,0,0,1
"ENSMUSG00000022210",2698,4053,3869,1486,1495,1766,1648
"ENSMUSG00000022211",51,84,78,241,196,204,247
"ENSMUSG00000022212",0,1,0,0,2,0,0
"ENSMUSG00000022214",3711,4228,5238,3428,3069,3501,3215
"ENSMUSG00000022215",230,274,421,28,55,107,51
"ENSMUSG00000022216",999,1227,1389,3358,2764,3610,3173
"ENSMUSG00000022217",290,337,395,318,202,312,267
"ENSMUSG00000022218",1426,1504,1218,2598,2124,1770,1433
"ENSMUSG00000022219",758,1034,1092,370,428,495,410
"ENSMUSG00000022220",104,130,91,296,252,266,205
"ENSMUSG00000022221",29,45,36,469,350,427,319
"ENSMUSG00000022223",1533,1727,1980,1462,1187,1491,1168
"ENSMUSG00000022225",0,0,0,3,1,1,1
"ENSMUSG00000022226",0,0,0,1,0,1,1
"ENSMUSG00000022227",0,0,0,0,3,0,0
"ENSMUSG00000022228",1068,1238,1345,1880,1513,1696,1497
"ENSMUSG00000022229",62,94,70,160,109,169,216
"ENSMUSG00000022231",1922,1841,2242,7069,6064,6216,6179
"ENSMUSG00000022234",2873,3215,3536,7825,6186,5806,5533
"ENSMUSG00000022235",1847,2196,2921,426,389,715,494
"ENSMUSG00000022236",86,101,136,73,61,93,59
"ENSMUSG00000022237",1337,1216,1708,1742,1496,1682,1614
"ENSMUSG00000022240",9,9,5,266,202,171,134
"ENSMUSG00000022241",795,710,794,2347,1731,1637,1410
"ENSMUSG00000022243",7,3,6,6,3,7,5
"ENSMUSG00000022244",2493,3296,3170,796,719,1030,903
"ENSMUSG00000022245",2,1,1,5,3,2,1
"ENSMUSG00000022246",920,1112,1132,3111,2563,2594,2374
"ENSMUSG00000022247",586,719,571,1229,892,1096,849
"ENSMUSG00000022248",143,166,217,244,252,207,214
"ENSMUSG00000022249",0,1,0,1,0,4,1
"ENSMUSG00000022253",1355,1010,1702,898,665,705,749
"ENSMUSG00000022255",1151,1179,1279,2220,1915,1626,1728
"ENSMUSG00000022257",2145,2570,2878,2744,1995,2117,1953
"ENSMUSG00000022261",1049,1024,964,2447,1731,2130,1851
"ENSMUSG00000022262",33,16,34,63,41,46,31
"ENSMUSG00000022263",1991,1929,2375,3744,3148,2798,2689
"ENSMUSG00000022265",340,387,477,1000,705,764,751
"ENSMUSG00000022269",0,0,0,0,0,0,0
"ENSMUSG00000022270",3917,2820,3559,2611,2294,2386,2384
"ENSMUSG00000022272",2187,1880,2848,3391,2760,2941,3282
"ENSMUSG00000022280",1020,1121,1360,3043,2485,2411,2229
"ENSMUSG00000022283",5193,5577,6356,14441,12169,13688,12595
"ENSMUSG00000022285",3616,4926,4765,7785,7095,8168,6103
"ENSMUSG00000022286",260,284,293,819,593,533,422
"ENSMUSG00000022288",0,0,2,1,0,0,0
"ENSMUSG00000022292",554,392,549,548,439,506,418
"ENSMUSG00000022295",2012,2143,2323,2666,2172,2498,2362
"ENSMUSG00000022296",1,1,6,12,7,6,6
"ENSMUSG00000022297",347,353,386,1148,833,965,876
"ENSMUSG00000022299",182,135,173,272,191,175,132
"ENSMUSG00000022300",360,490,398,850,655,824,615
"ENSMUSG00000022303",2,2,5,107,122,92,171
"ENSMUSG00000022304",6,0,4,6,6,16,14
"ENSMUSG00000022305",219,252,169,489,400,450,422
"ENSMUSG00000022306",31,27,42,126,40,72,81
"ENSMUSG00000022307",791,800,968,2406,2063,1807,1909
"ENSMUSG00000022309",223,206,285,214,235,298,337
"ENSMUSG00000022311",0,1,0,0,1,0,0
"ENSMUSG00000022312",2080,2919,2653,4275,3246,4225,3309
"ENSMUSG00000022313",131,157,134,312,285,302,261
"ENSMUSG00000022314",2871,2633,3368,5206,4363,4169,4180
"ENSMUSG00000022315",0,0,1,0,1,0,0
"ENSMUSG00000022321",1,1,3,1,5,4,2
"ENSMUSG00000022322",17,25,14,176,156,153,154
"ENSMUSG00000022323",17812,23369,23004,7700,6926,9654,8309
"ENSMUSG00000022324",255,363,339,542,430,442,312
